	description
GH42	Identification of the catalytic residues in doi:10.1016/j.febslet.2007.04.053 beta-galactosidase (EC 3.2.1.23)
GH43	 beta-xylosidase (EC 3.2.1.37); beta-1,3-xylosidase (EC 3.2.1.-); alpha-L-arabinofuranosidase (EC 3.2.1.55); arabinanase (EC 3.2.1.99); xylanase (EC 3.2.1.8); galactan 1,3-beta-galactosidase  (EC 3.2.1.145)
GH44	formerly known as cellulase family J. Note that the stereochemistry of the reaction has recently been corrected : Kitago et al., J. Biol. Chem. 282(2007)35703-11 (PMID: 17905739) endoglucanase (EC 3.2.1.4); xyloglucanase (EC 3.2.1.151)
GH45	formerly known as cellulase family K; distantly related to plant expansins endoglucanase (EC 3.2.1.4)
GH46	 chitosanase (EC 3.2.1.132)
GH47	 alpha-mannosidase (EC 3.2.1.113)
GH48	formerly known as cellulase family L. Some cellobiohydrolases of this family have been reported to act from the reducing ends of cellulose (EC 3.2.1.-), while others have been reported to operate from the non-reducing ends to liberate cellobiose or cellotriose or cellotetraose (EC 3.2.1.-). This family also contains endo-processive cellulases (EC 3.2.1.-), whose activity is hard to distinguish from that of cellobiohydrolases. endoglucanase (EC 3.2.1.4); chitinase (EC 3.2.1.14); cellobiohydrolase (EC 3.2.1.91); endo-processive cellulases (EC 3.2.1.-); [reducing end] cellobiohydrolase (3.2.1.-)
GH49	 dextranase (EC 3.2.1.11); isopullulanase (EC 3.2.1.57); dextran 1,6-alpha-isomaltotriosidase (EC 3.2.1.95).
GH5	formerly known as cellulase family A; Following a recent paper by St John et al. (FEBS Letters, 2010, in press) several GH5 subfamilies have been reassigned to GH30. chitosanase (EC 3.2.1.132); beta-mannosidase (EC 3.2.1.25); Cellulase (EC 3.2.1.4); glucan 1,3-beta-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); endo-beta-1,4-xylanase (EC 3.2.1.8); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); beta-1,3-mannanase (EC 3.2.1.-); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); mannan transglycosylase (EC 2.4.1.-); endo-beta-1,6-galactanase (EC 3.2.1.164)
GH50	 beta-agarase (EC 3.2.1.81).
GH51	 alpha-L-arabinofuranosidase (EC 3.2.1.55); endoglucanase (EC 3.2.1.4)
GH52	 beta-xylosidase (EC 3.2.1.37).
GH53	 endo-beta-1,4-galactanase (EC 3.2.1.89).
GH54	 alpha-L-arabinofuranosidase (EC 3.2.1.55); beta-xylosidase (EC 3.2.1.37).
GH55	 exo-beta-1,3-glucanase (EC 3.2.1.58); endo-beta-1,3-glucanase (EC 3.2.1.39).
GH56	 hyaluronidase (EC 3.2.1.35); chondroitin hydrolase (EC 3.2.1.-)
GH57	 alpha-amylase (EC 3.2.1.1); 4-alpha-glucanotransferase (EC 2.4.1.25); alpha-galactosidase (EC 3.2.1.22); amylopullulanase (EC 3.2.1.41); branching enzyme (EC 2.4.1.18)
GH58	 endo-N-acetylneuraminidase or endo-sialidase (EC 3.2.1.129)
GH59	 galactocerebrosidase (EC 3.2.1.46)
GH6	formerly known as cellulase family B.   The  cellobiohydrolases of  this  family are widely believed to act processively from the non-reducing  ends of  cellulose chains to  generate cellobiose. endoglucanase (EC 3.2.1.4); cellobiohydrolase (EC 3.2.1.91)
GH62	 alpha-L-arabinofuranosidase (EC 3.2.1.55)
GH63	 processing alpha-glucosidase (EC 3.2.1.106); alpha-1,3-glucosidase (EC 3.2.1.84); alpha-glucosidase (EC 3.2.1.20)
GH64	 beta-1,3-glucanase (EC 3.2.1.39).
GH65	 alpha,alpha-trehalase (EC 3.2.1.28); maltose phosphorylase (EC 2.4.1.8); trehalose phosphorylase (EC 2.4.1.64); kojibiose phosphorylase (EC 2.4.1.230); trehalose-6-phosphate phosphorylase (EC 2.4.1.-);
GH66	 cycloisomaltooligosaccharide glucanotransferase (EC 2.4.1.-); dextranase (EC 3.2.1.11).
GH67	 alpha-glucuronidase (EC 3.2.1.139); xylan alpha-1,2-glucuronidase (EC 3.2.1.131)
GH68	 levansucrase (EC 2.4.1.10); beta-fructofuranosidase (EC 3.2.1.26); inulosucrase (EC 2.4.1.9).
GH7	formerly known as cellulase family C. The cellobiohydrolases of this family act processively from the reducing ends of cellulose chains to generate cellobiose. This is markedly different from the IUBMB definition of cellobiohydrolases (EC 3.2.1.91), which act from the non-reducing ends of cellulose. endo-beta-1,4-glucanase (EC 3.2.1.4); [reducing end-acting] cellobiohydrolase (EC 3.2.1.-); chitosanase (EC 3.2.1.132); endo-beta-1,3-1,4-glucanase (EC 3.2.1.73)
GH70	 dextransucrase (EC 2.4.1.5); alternansucrase (EC 2.4.1.140); reuteransucrase (EC 2.4.1.-); alpha-4,6-glucanotransferase (EC 2.4.1.-)
GH71	 alpha-1,3-glucanase (EC 3.2.1.59).
GH72	 beta-1,3-glucanosyltransglycosylase (EC 2.4.1.-)
GH73	The 3-D structure of Sphingomonas sp. strain A1 FlgJ protein of this family has recently been solved (Hashimotoa et al., BBRC 2009, in press); there is only one, unconfirmed, report of b-1,4-N-acetylmuramoylhydrolase (EC 3.2.1.17) activity peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity  (EC 3.2.1.-)
GH74	 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)
GH75	 chitosanase (EC 3.2.1.132)
GH76	 alpha-1,6-mannanase (EC 3.2.1.101)
GH77	 amylomaltase or 4-alpha-glucanotransferase (EC 2.4.1.25)
GH78	 alpha-L-rhamnosidase (EC 3.2.1.40)
GH79	 beta-glucuronidase (EC 3.2.1.31); beta-4-O-methyl-glucuronidase (EC 3.2.1.-); heparanase (EC 3.2.1.-); baicalin beta-glucuronidase (EC 3.2.1.167)
GH8	formerly known as cellulase family D chitosanase (EC 3.2.1.132); cellulase (EC 3.2.1.4); licheninase (EC 3.2.1.73); endo-1,4-beta-xylanase (EC 3.2.1.8); reducing-end-xylose releasing exo-oligoxylanase (EC 3.2.1.156)
GH80	 chitosanase (EC 3.2.1.132)
GH81	 endo-beta-1,3-glucanase (EC 3.2.1.39)
GH82	 Iota;-carrageenase (EC 3.2.1.157)
GH83	 neuraminidase (EC 3.2.1.18)
GH84	Mechanism shown in Macauley et al. (2005) JBC 280:25313-25322 N-acetyl beta-glucosaminidase (EC 3.2.1.52); hyaluronidase (EC 3.2.1.35)
GH85	 endo-beta-N-acetylglucosaminidase (EC 3.2.1.96)
GH86	 beta-agarase (EC 3.2.1.81)
GH87	 mycodextranase (EC 3.2.1.61); alpha-1,3-glucanase (EC 3.2.1.59)
GH88	 d-4,5 unsaturated beta-glucuronyl hydrolase (EC 3.2.1.-)
GH89	 alpha-N-acetylglucosaminidase (EC 3.2.1.50)
GH9	formerly known as cellulase family E. endoglucanase (EC 3.2.1.4); cellobiohydrolase (EC 3.2.1.91); beta-glucosidase (EC 3.2.1.21); exo-beta-glucosaminidase (EC 3.2.1.165)
GH90	 endorhamnosidase (EC 3.2.1.-)
GH91	Was temporarily changed into PL19 until it was recently realized that these "PLs" are analogous to GH23 SLTs/lysozymes (there is at least one hydrolase in the GH91 family) and therefore are better classified in the GH category. See CAZypedia (below) for more. inulin lyase [DFA-I-forming] (EC 4.2.2.17); inulin lyase [DFA-III-forming] (EC 4.2.2.18); dIota;-fructofuranose 1,2':2,3' dianhydride hydrolase [DFA-IIIase] (EC 3.2.1.-)
GH92	Asp mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC 3.2.1.-);
GH93	 exo-alpha-L-1,5-arabinanase (EC 3.2.1.-)
GH94	Formerly known as glycosyltransferase family GT36; Assigned to a GH family following a paper by Hidaka, Honda, Kitaoka, Nirasawa, Hayashi, Wakagi, Shoun and Fushinobu (Structure (Camb). 2004 Jun;12(6):937-947) (PMID: 15274915) that revealed the evolutionary, structural and mechanistic relationship of these phosphorylases with glycoside hydrolases of clan GH-L. cellobiose phosphorylase (EC 2.4.1.20);  cellodextrin phosphorylase (EC 2.4.1.49);  chitobiose phosphorylase (EC 2.4.1.-); cyclic beta-1,2-glucan synthase (EC 2.4.1.-)
GH95	Created based on a paper by Katayama, Sakuma, Kimura, Makimura, Hiratake, Sakata, Yamanoi, Kumagai, and Yamamoto (J. Bacteriol. 2004 Aug;186(15):4885-4893) alpha-1,2-L-fucosidase (EC 3.2.1.63); alpha-L-fucosidase (EC 3.2.1.51)
GH96	 alpha-agarase (EC 3.2.1.158)
GH97	Created based on a paper by Hughes et al. (2003) Oral Microbiol Immunol. 18:309-312 (PMID: 12930523); *Mechanistic and structural elucidation by Gloster et al. (2008) Chem. Biol., Oct 8 (PMID:18848471); the inverting a-glucosidases (EC 3.2.1.20) could be renamed glucoamylases (EC 3.2.1.3 according to Kitamura et al. (2008) J. Biol. Chem., Nov 3 (PMID:18981178) alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22)
GH98	Created after Anderson et al. (J. Biol. Chem. 2005 280: 7720-7728; PMID:15618227) endo-beta-galactosidase (EC 3.2.1.-)
GH99	Created after Spiro, Bhoyroo and Spiro (1997) J. Biol. Chem. 272, 29356-29363 glycoprotein endo-alpha-1,2-mannosidase (EC 3.2.1.130)
GT1	Distantly related to family GT28; several members of this family are made of two subunits (for instance Alg13 and Alg14 in Saccharomyces); the complete enzyme has been reconstituted whenever possible, and appears with the two subunit names separated by a + sign and with the N-terminal subunit followed by the C-terminal one UDP-glucuronosyltransferase (EC 2.4.1.17); 2-hydroxyacylsphingosine 1-beta-galactosyltransferase (EC 2.4.1.45); N-acylsphingosine galactosyltransferase (EC 2.4.1.47); flavonol 3-O-glucosyltransferase (EC 2.4.1.91); indole-3-acetate beta-glucosyltransferase (EC 2.4.1.121); sterol glucosyltransferase (EC 2.4.1.173); ecdysteroid UDP-glucosyltransferase (EC 2.4.1.-); zeaxanthin glucosyltransferase (EC 2.4.1.-); zeatin O-beta-glucosyltransferase (EC 2.4.1.203); zeatin O-beta-xylosyltransferase (EC 2.4.2.40); limonoid glucosyltransferase (EC 2.4.1.210); sinapate 1-glucosyltransferase (EC 2.4.1.120); anthocyanin 3-O-galactosyltransferase (EC 2.4.1.-); anthocyanin 5-O-glucosyltransferase (EC 2.4.1.-); anthocyanidin 3-O-glucosyltransferase (EC 2.4.1.115); dTDP-beta-2-deoxy-L-fucose: alpha-L-2-deoxyfucosyltransferase (EC 2.4.1.-); UDP-beta-L-rhamnose: alpha-L-rhamnosyltransferase (EC 2.4.1.-); UDP-glucose: 4-hydroxybenzoate 4-O-beta-glucosyltransferase (EC 2.4.1.194); flavonol L-rhamnosyltransferase (EC 2.4.1.159); salicylic acid beta-glucosyltransferase (EC 2.4.1.-)
GT10	 galactoside alpha-1,3/1,4-L-fucosyltransferase (EC 2.4.1.65); galactoside alpha-1,3-L-fucosyltransferase (EC 2.4.1.152); glycoprotein alpha-1,3-L-fucosyltransferase (EC 2.4.1.214)
GT11	 GDP-L-Fuc: galactoside alpha-1,2-L-fucosyltransferase (EC 2.4.1.69); GDP-L-Fuc: beta-LacNac alpha-1,3-L-fucosyltransferase (EC 2.4.1.-)
GT12	Distant similarity to families GT2, GT21 and GT27 [N-acetylneuraminyl]-galactosylglucosylceramide N-acetylgalactosaminyltransferase (EC 2.4.1.92).
GT13	 alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase (EC 2.4.1.101)
GT14	 beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.102); N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.150); protein O-beta-xylosyltransferase (EC 2.4.2.26)
GT15	 glycolipid 2-alpha-mannosyltransferase (EC 2.4.1.131); GDP-Man: alpha-1,2-mannosyltransferase (EC 2.4.1.-).
GT16	 alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase (EC 2.4.1.143).
GT17	 beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.144).
GT18	 alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase (EC 2.4.1.155).
GT19	 lipid-A-disaccharide synthase (EC 2.4.1.182).
GT2	Distant similarity to families GT12, GT21, GT27, GT55, GT81 etc. cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenolï¿½mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)
GT20	 alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)
GT21	Distant similarity to families GT2, GT12 and GT27 UDP-Glc: ceramide beta-glucosyltransferase (EC 2.4.1.80).
GT22	These enzymes use dolichol-P-mannose as the sugar donor. Dol-P-Man alpha-mannosyltransferase (EC 2.4.1.-)
GT23	Distantly related to families GT65, GT68, GT11 N-acetyl-beta-D-glucosaminide alpha-1,6-L-fucosyltransferase (EC 2.4.1.68)
GT24	Distant similarity to family GT8 UDP-Glc: glycoprotein alpha-glucosyltransferase (EC 2.4.1.-).
GT25	 lipopolysaccharide beta-1,4-galactosyltransferase (EC 2.4.1.-); beta-1,3-glucosyltransferase (EC 2.4.1.-); beta-1,2-glucosyltransferase (EC 2.4.1.-); beta-1,2-galactosyltransferase (EC 2.4.1.-)
GT26	 UDP-ManNAcA: beta-N-acetyl mannosaminuronyltransferase (EC 2.4.1.-); UDP-ManNAc: beta-N-acetyl-mannosaminyltransferase (EC 2.4.1.-); UDP-Glc: beta-1,4-glucosyltransferase (EC 2.4.1.-).
GT27	Distant similarity to families GT2, GT12 and GT21 polypeptide alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.41)
GT28	Distantly related to family GT1 1,2-diacylglycerol 3-beta-galactosyltransferase (EC 2.4.1.46); 1,2-diacylglycerol 3-beta-glucosyltransferase (EC 2.4.1.157);  UDP-GlcNAc: Und-PP-MurAc-pentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227).
GT29	These enzymes use CMP-beta-N-acetylneuraminate as the sugar donor sialyltransferase (EC 2.4.99.-); beta-galactoside alpha-2,6-sialyltransferase (EC 2.4.99.1); alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase (EC 2.4.99.3); beta-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.4); N-acetyllactosaminide alpha-2,3-sialyltransferase (EC 2.4.99.6); (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase (EC 2.4.99.7);  alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase (EC 2.4.99.8); lactosylceramide alpha-2,3-sialyltransferase (EC 2.4.99.9).
GT3	 glycogen synthase (EC 2.4.1.11).
GT30	These enzymes use a nucleotide monophosphosugar as the donor (CMP-b-KDO) instead of a nucleotide diphosphosugar CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase (EC 2.4.99.-).
GT31	 N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.149); Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase (EC 2.4.1.122); fucose-specific beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.-); globotriosylceramide beta-1,3-GalNAc transferase (EC 2.4.1.79); chondroitin synthase (beta-1,3-GlcUA and beta-1,4-GalNAc transferase (EC 2.4.1.175); chondroitin beta-1,3-glucuronyltransferase (EC 2.4.1.226); chondroitin beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-).
GT32	 alpha-1,6-mannosyltransferase (EC 2.4.1.-); alpha-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-); alpha-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-);
GT33	 GDP-Man: chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142).
GT34	 UDP-Gal: galactomannan alpha-1,6-galactosyltransferase (EC 2.4.1.-); UDP-Xyl: xyloglucan alpha-1,6-xylosyltransferase (EC 2.4.2.39); alpha-1,2-galactosyltransferase (EC 2.4.1.-)
GT35	NULL glycogen or starch phosphorylase (EC 2.4.1.1).
GT37	 galactoside 2-L-fucosyltransferase (EC 2.4.1.69)
GT38	These enzymes use CMP-beta-N-acetylneuraminate as the sugar donor polysialyltransferase (EC 2.4.-.-)
GT39	These enzymes use dolichol-P-mannose (b-linked) as the sugar donor. Dol-P-Man: protein alpha-mannosyltransferase (EC 2.4.1.109)
GT4	 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); GDP-Man alpha-mannosyltransferase (EC 2.4.1.-); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157);  diglucosyl diacylglycerol synthase (EC 2.4.1.208); digalactosyldiacylglycerol synthase (EC 2.4.1.141); trehalose phosphorylase (EC 2.4.1.231); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-)
GT40	These enzymes use UDP-galactofuranose as donor beta-1,3-galactofuranosyltransferases (EC 2.4.1.-)
GT41	 UDP-GlcNAc: peptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.94)
GT42	These enzymes use CMP-beta-N-acetylneuraminate as the sugar donor CMP-NeuAc alpha-2,3-sialyltransferase (EC 2.4.99.-)
GT43	 beta-glucuronyltransferase (EC 2.4.1.135); UDP-Xyl: xylan  beta-1,4-xylosyltransferase (EC 2.4.2.-)
GT44	 UDP-Glc: alpha-glucosyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-).
GT45	 alpha-N-acteylglucosaminyltransferase (EC 2.4.1.-)
GT46	This family has been deleted until a convincing sufficient biochemical characterization is found for a member of this family Deleted
GT47	The long animal heparan synthases are made of two domains. The N-terminal domain, which adds b-1,4-GlcA residues, belongs to family GT47 while the C-terminal domain, which adds a-1,4-GlcNAc residues, belongs to family GT64. The plant homologs, which have a single domain, display various specificities ranging from xyloglucan b-galactosyltransferase to a pectin b-glucuronyltransferase and arabinan a-L-arabinosyltransferase. heparan beta-glucuronyltransferase (EC 2.4.1.225); xyloglucan beta-galactosyltransferase (EC 2.4.1.-); heparan synthase (EC 2.4.1.-); arabinan alphalpha-L-arabinosyltransferase (EC 2.4.2.-).
GT48	 1,3-beta-glucan synthase (EC 2.4.1.34)
GT49	 beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.-).
GT5	 UDP-Glc: glycogen glucosyltransferase (EC 2.4.1.11); ADP-Glc: starch glucosyltransferase (EC 2.4.1.21); NDP-Glc: starch glucosyltransferase (EC 2.4.1.242); UDP-Glc: alpha-1,3-glucan synthase (EC 2.4.1.183) UDP-Glc: alpha-1,4-glucan synthase (EC 2.4.1.-)
GT50	These enzymes use dolichol-P-mannose as the sugar donor. Dol-P-Man alpha-1,4-mannosyltransferase (EC 2.4.1.-)
GT51	There are two categories of enzymes in this family : monofunctional (just the GT51 module) or bifunctional (GT51 module attached to a penicillin-binding transpeptidase module). These enzymes utilise Und-PP-MurAc-(GlcNAc)-pentapeptide as the sugar donor. murein polymerase (EC 2.4.1.129).
GT52	 alpha-2,3-sialyltransferase (EC 2.4.99.4); alpha-glucosyltransferase (EC 2.4.1.-)
GT53	 UDP-L-Ara: alpha-L-arabinosyltransferase (EC 2.4.2.-)
GT54	 UDP-GlcNAc: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.145)
GT55	Distantly related to family GT2 GDP-Man: mannosyl-3-phosphoglycerate synthase (EC 2.4.1.217)
GT56	 TDP-Fuc4NAc: lipid II Fuc4NAc transferase (EC 2.4.1.-)
GT57	These enzymes use dolichol-P-glucose as the sugar donor. Dol-P-Glc: alpha-1,3-glucosyltransferase (EC 2.4.1.-)
GT58	These enzymes use dolichol-P-mannose as the sugar donor. Dol-P-Man: dolichol pyrophosphate-mannose alpha-1,3-mannosyltransferase (EC 2.4.1.130); Dol-P-Man: dolichol pyrophosphate-Man5GlcNAc2 alpha-1,2-mannosyltransferase (EC 2.4.1.130)
GT59	These enzymes use dolichol-P-glucose as the sugar donor. Dol-P-Glc: Glc2Man9GlcNAc2-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.-)
GT6	 alpha-1,3-galactosyltransferase (EC 2.4.1.87); alpha-1,3 N-acetylgalactosaminyltransferase (EC 2.4.1.40); alpha-galactosyltransferase (EC 2.4.1.37); globoside alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.88).
GT60	 UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: hydroxyproline polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)
GT61	 beta-1,2-xylosyltransferase (EC 2.4.2.38)
GT62	 alpha-1,2-mannosyltransferase (EC 2.4.1.-); alpha-1,6-mannosyltransferase (EC 2.4.1.-)
GT63	Exceptionally, this family was created with a single member whose 3-D structure and mechanism are well characterised UDP-Glc: DNA beta-glucosyltransferase (EC 2.4.1.27)
GT64	The long animal heparan synthases are made of two domains. The N-terminal domain, which adds b-1,4-GlcA residues, belongs to family GT47 while the C-terminal domain, which adds a-1,4-GlcNAc residues, belongs to family GT64. The plant homologs have a single domain. UDP-GlcNAc: heparan alpha-N-acetylhexosaminyltransferase (EC 2.4.1.224)
GT65	Distantly related to families GT68, GT23, GT11 GDP-Fuc: protein O-alpha-fucosyltransferase (EC 2.4.1.-)
GT66	These enzymes utilise an oligosaccharide-PP-dolichol as the donor Dol-PP-alpha-oligosaccharide: protein beta-oligosaccharyltransferase (EC 2.4.1.119)
GT67	Activity shown by Dobson et al. (2003) J Biol Chem. 278:15523-15531 UDP-Gal: phosphoglycan betalpha-1,3 galactosyltransferase 1 (SCG1) (EC 2.4.1.-)
GT68	Distantly related to families GT65, GT23, GT11; created after reading Martinez-Dunker et al. (2003) Glycobiology 13:1C-5C GDP-Fuc: protein O-alpha-fucosyltransferase (EC 2.4.1.-)
GT69	Created after reading Sommer et al. (2003) J. Biol. Chem. 278:47724-47730. GDP-Man: alpha-1,3-mannosyltransferase (EC 2.4.1.-)
GT7	 lactose synthase (EC 2.4.1.22); beta-N-acetylglucosaminyl-glycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); N-acetyllactosamine synthase (EC 2.4.1.90); beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-); xylosylprotein beta-4-galactosyltransferase (EC 2.4.1.133)
GT70	 UDP-GlcA: beta-glucuronosyltransferase (EC 2.4.1.17)
GT71	Distantly related to family GT8 alpha-mannosyltransferase (EC 2.4.1.-)
GT72	 UDP-Glc: DNA alpha-glucosyltransferase (EC 2.4.1.26)
GT73	These enzymes use a nucleotide monophosphosugar as the donor (CMP-b-KDO) instead of a nucleotide diphosphosugar CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase (EC 2.4.99.-).
GT74	The Dictyostelium enzyme has a GT2-GT74 tandem structure while the Desulfovibrio enzyme has a GT74-GT2 tandem structure. alpha-1,2-L-fucosyltransferase (EC 2.4.1.69)
GT75	Members of this family are often attributed EC 2.4.1.112 (forming a-bonds) despite a paper by Singh et al, FEBS Lett  376 (1995) 61-64, showing that the glucose residue is b-linked to an arginine residue UDP-Glc: self-glucosylating beta-glucosyltransferase (EC 2.4.1.-)
GT76	These enzymes use dolichol-P-mannose as the sugar donor; created after Kang, Hong, Ashida, Shishioh, Murakami, Morita, Maeda and Kinoshita (2005) J. Biol. Chem. 280:9489-9497 (PMID: 15623507) Dol-P-Man: alpha-1,6-mannosyltransferase (EC 2.4.1.-)
GT77	Created from Egelund J, Skjodt M, Geshi N, Ulvskov P and Petersen BL (2004) Plant Physiol. 136:2609-2620 alpha-xylosyltransferase (EC 2.4.2.39); alpha-1,3-galactosyltransferase (EC 2.4.1.37); arabinosyltransferase (EC 2.4.2.-)
GT78	Distant similarity to family GT2 GDP-Man: alpha-mannosyltransferase (mannosylglycerate synthase) (EC 2.4.1.-)
GT79	Created after reading Goswami et al. Glycobiology (2006) 16, 230-236 (PMID: 16272216) GDP-D-Ara: phosphoglycan alpha-1,2-D-arabinopyranosyltransferase 1 (EC 2.4.2.-)
GT8	Distant similarity to family GT24 lipopolysaccharide alpha-1,3-galactosyltransferase (EC 2.4.1.44);  UDP-Glc: (glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.-); lipopolysaccharide glucosyltransferase 1 (EC 2.4.1.58); glycogenin glucosyltransferase (EC 2.4.1.186); inositol 1-alpha-galactosyltransferase (galactinol synthase) (EC 2.4.1.123); homogalacturonan alpha-1,4-galacturonosyltransferase (EC 2.4.1.43); UDP-GlcA: xylan alpha-glucuronyltransferase (EC 2.4.1.-)
GT80	created from reading Yamamoto, Nakashizuka and Terada (1998) J Biochem (Tokyo) 123:94-100 beta-galactoside alpha-2,6-sialyltransferase (EC 2.4.99.1); beta-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.4)
GT81	Created after reading Costa et al. (2006) J. Bacteriol. 188:1022-1030; updated to include mycobacterial,enzymes after reading Empadinhas et al. (2008) FEMS Microbiol Lett 280:195ï¿½202; distantly related to family GT2 NDP-Glc: glucosyl-3-phosphoglycerate synthase (EC 2.4.1.-); NDP-Man: mannosyl-3-phosphoglycerate synthase (EC 2.4.1.-);
GT82	Distantly related to family GT2; activity shown in Gilbert et al. (2002) J. Biol. Chem. 277, 327-337 UDP-GalNAc: beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-)
GT83	Known sugar donors include undecaprenyl phospho-a-L-4-amino-4-deoxy-L-arabinose ; dodecaprenyl phospho-b-galacturonic acid undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase (EC 2.4.2.-); dodecaprenyl phosphate-beta-galacturonic acid: lipopolysaccharide core alpha-galacturonosyl transferase (EC 2.4.1.-)
GT84	Distantly related to family GT2; created after Ciocchini et al. (2006) Glycobiology 16:679-691 (PMID: 16603625) cyclic beta-1,2-glucan synthase (EC 2.4.1.-);
GT85	These enzymes utilise b-D-arabinofuranosyl monophosphoryldecaprenol as the donor; created after reading Alderwick et al. (2006) J. Biol. Chem., 281 (2006) 15653-15661 (PMID - 16595677) beta-D-arabinofuranosyl monophosphoryldecaprenol: galactan alpha-D-arabinofuranosyltransferase (EC 2.4.2.-)
GT87	These enzymes use polyprenol-P-mannose as the sugar donor; created after Morita, YS et al. (2006) J. Biol. Chem., 281(35):25143-55 (PMID: 16803893) polyprenol-P-Man: alpha-1,2-mannosyltransferase (EC 2.4.1.-)
