	description	short_description
PF09910	Uncharacterized protein conserved in archaea (DUF2139)	DUF2139
PF09911	Uncharacterized protein conserved in bacteria (DUF2140)	DUF2140
PF09912	Uncharacterized protein conserved in bacteria (DUF2141)	DUF2141
PF09913	Predicted membrane protein (DUF2142)	DUF2142
PF09916	Uncharacterized protein conserved in bacteria (DUF2145)	DUF2145
PF10220	Uncharacterized conserved protein (DUF2146)	DUF2146
PF09917	Uncharacterized protein conserved in bacteria (DUF2147)	DUF2147
PF09918	Uncharacterized protein containing a ferredoxin domain (DUF2148)	DUF2148
PF09919	Uncharacterized conserved protein (DUF2149)	DUF2149
PF09920	Uncharacterized protein conserved in archaea (DUF2150)	DUF2150
PF10221	Cell cycle and development regulator	DUF2151
PF10222	Uncharacterized conserved protein (DUF2152)	DUF2152
PF09921	Uncharacterized protein conserved in archaea (DUF2153)	DUF2153
PF09922	Cell wall-active antibiotics response protein (DUF2154)	DUF2154
PF09923	Uncharacterized protein conserved in bacteria (DUF2155)	DUF2155
PF09924	Uncharacterized conserved protein (DUF2156)	DUF2156
PF09925	Predicted membrane protein (DUF2157)	DUF2157
PF09926	Uncharacterized small protein (DUF2158)	DUF2158
PF09928	Predicted small integral membrane protein (DUF2160)	DUF2160
PF09929	Uncharacterized conserved protein (DUF2161)	DUF2161
PF09930	Predicted transporter (DUF2162)	DUF2162
PF09931	Uncharacterized conserved protein (DUF2163)	DUF2163
PF09932	Uncharacterized conserved protein (DUF2164)	DUF2164
PF09933	Predicted small integral membrane protein (DUF2165)	DUF2165
PF09935	Protein of unknown function (DUF2167)	DUF2167
PF09937	Uncharacterized protein conserved in bacteria (DUF2169)	DUF2169
PF02697	Uncharacterized ACR, COG1753	DUF217
PF09938	Uncharacterized protein conserved in bacteria (DUF2170)	DUF2170
PF09939	Uncharacterized protein conserved in bacteria (DUF2171)	DUF2171
PF09940	Domain of unknown function (DUF2172)	DUF2172
PF09941	Uncharacterized conserved protein (DUF2173)	DUF2173
PF09943	Uncharacterized protein conserved in archaea (DUF2175)	DUF2175
PF09945	Predicted membrane protein (DUF2177)	DUF2177
PF09946	Predicted membrane protein (DUF2178)	DUF2178
PF10035	Uncharacterized protein conserved in bacteria (DUF2179)	DUF2179
PF02698	DUF218 domain	DUF218
PF09947	Uncharacterized protein conserved in archaea (DUF2180)	DUF2180
PF10223	Uncharacterized conserved protein (DUF2181)	DUF2181
PF09948	Predicted metal-binding integral membrane protein (DUF2182)	DUF2182
PF09949	Uncharacterized conserved protein (DUF2183)	DUF2183
PF09950	Uncharacterized protein conserved in bacteria (DUF2184)	DUF2184
PF09951	Protein of unknown function (DUF2185)	DUF2185
PF09952	Uncharacterized protein conserved in bacteria (DUF2186)	DUF2186
PF09953	Uncharacterized protein conserved in bacteria (DUF2187)	DUF2187
PF09954	Uncharacterized protein conserved in bacteria (DUF2188)	DUF2188
PF09955	Predicted integral membrane protein (DUF2189)	DUF2189
PF09956	Uncharacterized conserved protein (DUF2190)	DUF2190
PF09957	Uncharacterized protein conserved in bacteria (DUF2191)	DUF2191
PF09958	Uncharacterized protein conserved in archaea (DUF2192)	DUF2192
PF09959	Uncharacterized protein conserved in archaea (DUF2193)	DUF2193
PF09960	Uncharacterized protein conserved in bacteria (DUF2194)	DUF2194
PF09961	Uncharacterized protein conserved in bacteria (DUF2195)	DUF2195
PF09962	Uncharacterized conserved protein (DUF2196)	DUF2196
PF09963	Uncharacterized protein conserved in bacteria (DUF2197)	DUF2197
PF09964	Uncharacterized protein conserved in bacteria (DUF2198)	DUF2198
PF09965	Uncharacterized protein conserved in bacteria (DUF2199)	DUF2199
PF01629	Domain of unknown function DUF22	DUF22
PF02713	Domain of unknown function DUF220	DUF220
PF09966	Uncharacterized protein conserved in bacteria (DUF2200)	DUF2200
PF09967	VWA-like domain (DUF2201)	DUF2201
PF13203	Putative metallopeptidase domain	DUF2201_N
PF09968	Uncharacterized protein domain (DUF2202)	DUF2202
PF09969	Uncharacterized conserved protein (DUF2203)	DUF2203
PF09970	Nucleotidyl transferase of unknown function (DUF2204)	DUF2204
PF10224	Predicted coiled-coil protein (DUF2205)	DUF2205
PF09971	Predicted membrane protein (DUF2206)	DUF2206
PF09972	Predicted membrane protein (DUF2207)	DUF2207
PF09973	Predicted membrane protein (DUF2208)	DUF2208
PF09974	Uncharacterized protein conserved in archaea (DUF2209)	DUF2209
PF02714	Domain of unknown function DUF221	DUF221
PF09979	Uncharacterized protein conserved in bacteria (DUF2213)	DUF2213
PF09980	Predicted membrane protein (DUF2214)	DUF2214
PF10225	Uncharacterized conserved protein (DUF2215)	DUF2215
PF10226	Uncharacterized conserved proteins (DUF2216)	DUF2216
PF10265	Uncharacterized conserved protein (DUF2217)	DUF2217
PF09981	Uncharacterized protein conserved in bacteria (DUF2218)	DUF2218
PF09982	Uncharacterized protein conserved in bacteria (DUF2219)	DUF2219
PF02720	Domain of unknown function (DUF222)	DUF222
PF09983	Uncharacterized protein conserved in bacteria C-term(DUF2220)	DUF2220
PF09984	Uncharacterized signal transduction histidine kinase domain (DUF2222)	DUF2222
PF09985	Domain of unknown function (DUF2223)	DUF2223
PF09986	Uncharacterized protein conserved in bacteria (DUF2225)	DUF2225
PF09987	Uncharacterized protein conserved in archaea (DUF2226)	DUF2226
PF09988	Uncharacterized metal-binding protein (DUF2227)	DUF2227
PF10228	Uncharacterised conserved protein (DUF2228)	DUF2228
PF09989	CoA enzyme activase uncharacterised domain (DUF2229)	DUF2229
PF02721	Domain of unknown function DUF223	DUF223
PF09990	Predicted membrane protein (DUF2231)	DUF2231
PF09991	Predicted membrane protein (DUF2232)	DUF2232
PF09992	Predicted periplasmic protein (DUF2233)	DUF2233
PF09994	Uncharacterized alpha/beta hydrolase domain (DUF2235)	DUF2235
PF09995	Uncharacterized protein conserved in bacteria (DUF2236)	DUF2236
PF09996	Uncharacterized protein conserved in bacteria (DUF2237)	DUF2237
PF09997	Predicted membrane protein (DUF2238)	DUF2238
PF09998	Uncharacterized protein conserved in bacteria (DUF2239)	DUF2239
PF09999	Uncharacterized protein conserved in archaea (DUF2240)	DUF2240
PF10001	Uncharacterized protein conserved in bacteria (DUF2242)	DUF2242
PF10002	Predicted membrane protein (DUF2243)	DUF2243
PF10003	Integral membrane protein (DUF2244)	DUF2244
PF10229	Uncharacterized conserved protein (DUF2246)	DUF2246
PF10004	Uncharacterized protein conserved in bacteria (DUF2247)	DUF2247
PF10005	Uncharacterized protein conserved in bacteria (DUF2248)	DUF2248
PF10006	Uncharacterized conserved protein (DUF2249)	DUF2249
PF10007	Uncharacterized protein conserved in archaea (DUF2250)	DUF2250
PF10008	Uncharacterized protein conserved in bacteria (DUF2251)	DUF2251
PF10009	Uncharacterized protein conserved in bacteria (DUF2252)	DUF2252
PF10011	Predicted membrane protein (DUF2254)	DUF2254
PF10012	Uncharacterized protein conserved in bacteria (DUF2255)	DUF2255
PF10013	Uncharacterized protein conserved in bacteria (DUF2256)	DUF2256
PF10015	Uncharacterized protein conserved in archaea (DUF2258)	DUF2258
PF10016	Predicted secreted protein (DUF2259)	DUF2259
PF02890	Borrelia family of unknown function DUF226	DUF226
PF10020	Uncharacterized protein conserved in bacteria (DUF2262)	DUF2262
PF10021	Uncharacterized protein conserved in bacteria (DUF2263)	DUF2263
PF10022	Uncharacterized protein conserved in bacteria (DUF2264)	DUF2264
PF10023	Predicted aminopeptidase (DUF2265)	DUF2265
PF10025	Uncharacterized conserved protein (DUF2267)	DUF2267
PF10026	Predicted Zn-dependent protease (DUF2268)	DUF2268
PF10027	Predicted integral membrane protein (DUF2269)	DUF2269
PF10028	Predicted integral membrane protein (DUF2270)	DUF2270
PF10029	Predicted periplasmic protein (DUF2271)	DUF2271
PF10030	Uncharacterized protein conserved in bacteria (DUF2272)	DUF2272
PF10031	Small integral membrane protein (DUF2273)	DUF2273
PF10038	Protein of unknown function (DUF2274)	DUF2274
PF10039	Predicted integral membrane protein (DUF2275)	DUF2275
PF10040	Uncharacterized conserved protein (DUF2276)	DUF2276
PF10041	Uncharacterized conserved protein (DUF2277)	DUF2277
PF10042	Uncharacterized conserved protein (DUF2278)	DUF2278
PF10043	Predicted periplasmic lipoprotein (DUF2279)	DUF2279
PF02989	Lyme disease proteins of unknown function	DUF228
PF10045	Uncharacterized conserved protein (DUF2280)	DUF2280
PF10047	Protein of unknown function (DUF2281)	DUF2281
PF10048	Predicted integral membrane protein (DUF2282)	DUF2282
PF10049	Protein of unknown function (DUF2283)	DUF2283
PF10050	Predicted metal-binding protein (DUF2284)	DUF2284
PF10074	Uncharacterized conserved protein (DUF2285)	DUF2285
PF10051	Uncharacterized protein conserved in archaea (DUF2286)	DUF2286
PF10052	Protein of unknown function (DUF2288)	DUF2288
PF02995	Protein of unknown function (DUF229)	DUF229
PF10053	Uncharacterized conserved protein (DUF2290)	DUF2290
PF10054	Predicted periplasmic lipoprotein (DUF2291)	DUF2291
PF10055	Uncharacterized small protein (DUF2292)	DUF2292
PF10056	Uncharacterized conserved protein (DUF2293)	DUF2293
PF10057	Uncharacterized conserved protein (DUF2294)	DUF2294
PF10058	Predicted integral membrane metal-binding protein (DUF2296)	DUF2296
PF10060	Uncharacterized membrane protein (DUF2298)	DUF2298
PF10061	Uncharacterized conserved protein (DUF2299)	DUF2299
PF03003	Poxvirus proteins of unknown function	DUF230
PF10062	Predicted secreted protein (DUF2300)	DUF2300
PF10063	Uncharacterized integral membrane protein (DUF2301)	DUF2301
PF10065	Uncharacterized conserved protein (DUF2303)	DUF2303
PF10066	Uncharacterized conserved protein (DUF2304)	DUF2304
PF10230	Uncharacterised conserved protein (DUF2305)	DUF2305
PF10067	Predicted membrane protein (DUF2306)	DUF2306
PF10070	Uncharacterized protein conserved in bacteria (DUF2309)	DUF2309
PF10071	Zn-ribbon-containing, possibly nucleic-acid-binding protein (DUF2310)	DUF2310
PF10073	Uncharacterized protein conserved in bacteria (DUF2312)	DUF2312
PF10076	Uncharacterized protein conserved in bacteria (DUF2313)	DUF2313
PF10077	Uncharacterized protein conserved in bacteria (DUF2314)	DUF2314
PF10231	Uncharacterised conserved protein (DUF2315)	DUF2315
PF10078	Uncharacterized protein conserved in bacteria (DUF2316)	DUF2316
PF10079	Uncharacterized protein conserved in bacteria (DUF2317)	DUF2317
PF10080	Predicted membrane protein (DUF2318)	DUF2318
PF10082	Uncharacterized protein conserved in bacteria (DUF2320)	DUF2320
PF10083	Uncharacterized protein conserved in bacteria (DUF2321)	DUF2321
PF10084	Uncharacterized protein conserved in bacteria (DUF2322)	DUF2322
PF10086	Putative membrane peptidase family (DUF2324)	DUF2324
PF10087	Uncharacterized protein conserved in bacteria (DUF2325)	DUF2325
PF10088	Uncharacterized protein conserved in bacteria (DUF2326)	DUF2326
PF10090	Uncharacterized protein conserved in bacteria (DUF2328)	DUF2328
PF10092	Uncharacterized protein conserved in bacteria (DUF2330)	DUF2330
PF10093	Uncharacterized protein conserved in bacteria (DUF2331)	DUF2331
PF10094	Uncharacterized protein conserved in bacteria (DUF2332)	DUF2332
PF10095	Uncharacterized protein conserved in bacteria (DUF2333)	DUF2333
PF10096	Uncharacterized protein conserved in bacteria (DUF2334)	DUF2334
PF10097	Predicted membrane protein (DUF2335)	DUF2335
PF10098	Uncharacterized protein conserved in bacteria (DUF2336)	DUF2336
PF10100	Uncharacterized protein conserved in bacteria (DUF2338)	DUF2338
PF10101	Predicted membrane protein (DUF2339)	DUF2339
PF03008	Archaea bacterial proteins of unknown function	DUF234
PF10209	Uncharacterized conserved protein (DUF2340)	DUF2340
PF10102	Domain of unknown function (DUF2341)	DUF2341
PF10103	Uncharacterised conserved protein (DUF2342)	DUF2342
PF10105	Uncharacterized protein conserved in bacteria (DUF2344)	DUF2344
PF10106	Uncharacterized protein conserved in bacteria (DUF2345)	DUF2345
PF09803	Uncharacterized conserved protein (DUF2346)	DUF2346
PF09804	Uncharacterized conserved protein (DUF2347)	DUF2347
PF09807	Uncharacterized conserved protein (DUF2348)	DUF2348
PF09817	Uncharacterized conserved protein (DUF2352)	DUF2352
PF09789	Uncharacterized coiled-coil protein (DUF2353)	DUF2353
PF10189	Conserved protein (DUF2356)	DUF2356
PF09823	Domain of unknown function (DUF2357)	DUF2357
PF10184	Uncharacterized conserved protein (DUF2358)	DUF2358
PF10151	Uncharacterised conserved protein (DUF2359)	DUF2359
PF03057	Protein of unknown function	DUF236
PF10152	Predicted coiled-coil domain-containing protein (DUF2360)	DUF2360
PF10153	Uncharacterised conserved protein (DUF2361)	DUF2361
PF10154	Uncharacterized conserved protein (DUF2362)	DUF2362
PF10155	Uncharacterized conserved protein (DUF2363)	DUF2363
PF10157	Uncharacterized conserved protein (DUF2365)	DUF2365
PF10171	Uncharacterised conserved protein (DUF2366)	DUF2366
PF10164	Uncharacterized conserved protein (DUF2367)	DUF2367
PF10166	Uncharacterised conserved protein (DUF2368)	DUF2368
PF10179	Uncharacterised conserved protein (DUF2369)	DUF2369
PF03072	MG032/MG096/MG288 family 1	DUF237
PF10176	Protein of unknown function (DUF2370)	DUF2370
PF10177	Uncharacterised conserved protein (DUF2371)	DUF2371
PF10178	Uncharacterised conserved protein (DUF2372)	DUF2372
PF10180	Uncharacterised conserved protein (DUF2373)	DUF2373
PF09574	Protein  of unknown function (Duf2374)	DUF2374
PF09558	Protein of unknown function (DUF2375)	DUF2375
PF09550	Conserved hypothetical phage protein (DUF2376)	DUF2376
PF09536	Protein of unknown function (DUF2378)	DUF2378
PF09543	Protein of unknown function (DUF2379)	DUF2379
PF09533	Predicted lipoprotein of unknown function (DUF2380)	DUF2380
PF09544	Protein of unknown function (DUF2381)	DUF2381
PF09557	Domain of unknown function (DUF2382)	DUF2382
PF09537	Domain of unknown function (DUF2383)	DUF2383
PF09722	Protein of unknown function (DUF2384)	DUF2384
PF09539	Protein of unknown function (DUF2385)	DUF2385
PF09526	Probable metal-binding protein (DUF2387)	DUF2387
PF09498	Protein of unknown function (DUF2388)	DUF2388
PF09493	Tryptophan-rich protein (DUF2389)	DUF2389
PF03080	Domain of unknown function (DUF239)	DUF239
PF09523	Protein of unknown function (DUF2390)	DUF2390
PF09622	Putative integral membrane protein (DUF2391)	DUF2391
PF10288	Protein of unknown function (DUF2392)	DUF2392
PF09624	Protein of unknown function (DUF2393)	DUF2393
PF09654	Protein of unknown function (DUF2396)	DUF2396
PF09660	Protein of unknown function (DUF2397)	DUF2397
PF09661	Protein of unknown function (DUF2398)	DUF2398
PF09664	Protein of unknown function C-terminus (DUF2399)	DUF2399
PF03086	MG032/MG096/MG288 family 2	DUF240
PF09674	Protein of unknown function (DUF2400)	DUF2400
PF10287	Putative TOS1-like glycosyl hydrolase (DUF2401)	DUF2401
PF10290	Glycine-rich protein domain (DUF2403)	DUF2403
PF10296	Putative integral membrane protein conserved region (DUF2404)	DUF2404
PF10293	Domain of unknown function (DUF2405)	DUF2405
PF10295	Uncharacterised protein (DUF2406)	DUF2406
PF10302	DUF2407 ubiquitin-like domain	DUF2407
PF13373	DUF2407 C-terminal domain	DUF2407_C
PF10303	Protein of unknown function (DUF2408)	DUF2408
PF03087	Arabidopsis protein of unknown function	DUF241
PF10307	Hypothetical protein (DUF2410)	DUF2410
PF10304	Domain of unknown function (DUF2411)	DUF2411
PF10310	Protein of unknown function (DUF2413)	DUF2413
PF10309	Protein of unknown function (DUF2414)	DUF2414
PF10313	Uncharacterised protein domain (DUF2415)	DUF2415
PF10315	Protein of unknown function (DUF2416)	DUF2416
PF10329	Region of unknown function (DUF2417)	DUF2417
PF10332	Protein of unknown function (DUF2418)	DUF2418
PF10343	Protein of unknown function (DUF2419)	DUF2419
PF10336	Protein of unknown function (DUF2420)	DUF2420
PF10334	Protein of unknown function (DUF2421)	DUF2421
PF10337	Protein of unknown function (DUF2422)	DUF2422
PF10338	Protein of unknown function (DUF2423)	DUF2423
PF10340	Protein of unknown function (DUF2424)	DUF2424
PF10348	Domain of unknown function (DUF2427)	DUF2427
PF10350	Putative death-receptor fusion protein (DUF2428)	DUF2428
PF03103	Domain of unknown function (DUF243)	DUF243
PF10353	Protein of unknown function (DUF2430)	DUF2430
PF10354	Domain of unknown function (DUF2431)	DUF2431
PF10360	Protein of unknown function (DUF2433)	DUF2433
PF10361	Protein of unknown function (DUF2434)	DUF2434
PF10363	Protein of unknown function (DUF2435)	DUF2435
PF10365	Domain of unknown function (DUF2436)	DUF2436
PF10370	Domain of unknown function (DUF2437)	DUF2437
PF10382	Protein of unknown function (DUF2439)	DUF2439
PF03112	Uncharacterized protein family (ORF7) DUF	DUF244
PF10386	Protein of unknown function (DUF2441)	DUF2441
PF10387	Protein of unknown function (DUF2442)	DUF2442
PF10398	Protein of unknown function (DUF2443)	DUF2443
PF10476	Protein of unknown function C-terminus (DUF2448)	DUF2448
PF10475	Protein of unknown function N-terminal domain (DUF2450)	DUF2450
PF10474	Protein of unknown function C-terminus (DUF2451)	DUF2451
PF10504	Protein of unknown function (DUF2452)	DUF2452
PF10507	Protein of unknown function (DUF2453)	DUF2453
PF10521	Protein of unknown function (DUF2454)	DUF2454
PF10445	Protein of unknown function (DUF2456)	DUF2456
PF10446	Protein of unknown function (DUF2457)	DUF2457
PF10454	Protein of unknown function (DUF2458)	DUF2458
PF09601	Protein of unknown function (DUF2459)	DUF2459
PF09343	Conserved hypothetical protein 2217 (DUF2460)	DUF2460
PF09365	Conserved hypothetical protein (DUF2461)	DUF2461
PF09495	Protein of unknown function (DUF2462)	DUF2462
PF09591	Protein of unknown function (DUF2463)	DUF2463
PF10240	Protein of unknown function (DUF2464)	DUF2464
PF10239	Protein of unknown function (DUF2465)	DUF2465
PF10611	Protein of unknown function (DUF2469)	DUF2469
PF03140	Plant protein of unknown function	DUF247
PF10615	Protein of unknown function (DUF2470)	DUF2470
PF10616	Protein of unknown function (DUF2471)	DUF2471
PF10617	Protein of unknown function (DUF2474)	DUF2474
PF10629	Protein of unknown function (DUF2475)	DUF2475
PF10630	Protein of unknown function (DUF2476)	DUF2476
PF10631	Protein of unknown function (DUF2477)	DUF2477
PF10649	Protein of unknown function (DUF2478)	DUF2478
PF10651	Domain of unknown function (DUF2479)	DUF2479
PF10652	Protein of unknown function (DUF2480)	DUF2480
PF10654	Protein of unknown function (DUF2481)	DUF2481
PF10655	Hypothetical protein of unknown function (DUF2482)	DUF2482
PF10656	Hypothetical protein of unknown function (DUF2483)	DUF2483
PF10658	Protein of unknown function (DUF2484)	DUF2484
PF10667	Protein of unknown function (DUF2486)	DUF2486
PF10673	Protein of unknown function (DUF2487)	DUF2487
PF10675	Protein of unknown function (DUF2489)	DUF2489
PF03158	Multigene family 530 protein	DUF249
PF10677	Protein of unknown function (DUF2490)	DUF2490
PF10679	Protein of unknown function (DUF2491)	DUF2491
PF10678	Protein of unknown function (DUF2492)	DUF2492
PF10686	Protein of unknown function (DUF2493)	DUF2493
PF10689	Protein of unknown function (DUF2496)	DUF2496
PF10691	Protein of unknown function (DUF2497)	DUF2497
PF10692	Protein of unknown function (DUF2498)	DUF2498
PF10693	Protein of unknown function (DUF2499)	DUF2499
PF10694	Protein of unknown function (DUF2500)	DUF2500
PF10696	Protein of unknown function (DUF2501)	DUF2501
PF10697	Protein of unknown function (DUF2502)	DUF2502
PF10698	Protein of unknown function (DUF2505)	DUF2505
PF10702	Protein of unknown function (DUF2507)	DUF2507
PF10704	Protein of unknown function (DUF2508)	DUF2508
PF10713	Protein of unknown function (DUF2509)	DUF2509
PF10708	Protein of unknown function (DUF2510)	DUF2510
PF10709	Protein of unknown function (DUF2511)	DUF2511
PF10710	Protein of unknown function (DUF2512)	DUF2512
PF10711	Hypothetical protein (DUF2513)	DUF2513
PF10721	Protein of unknown function (DUF2514)	DUF2514
PF10720	Protein of unknown function (DUF2515)	DUF2515
PF10724	Protein of unknown function (DUF2516)	DUF2516
PF10725	Protein of unknown function (DUF2517)	DUF2517
PF10726	Protein of function (DUF2518)	DUF2518
PF10728	Domain of unknown function (DUF2520)	DUF2520
PF10730	Protein of unknown function (DUF2521)	DUF2521
PF10747	Protein of unknown function (DUF2522)	DUF2522
PF10734	Protein of unknown function (DUF2523)	DUF2523
PF10732	Protein of unknown function (DUF2524)	DUF2524
PF10733	Protein of unknown function (DUF2525)	DUF2525
PF10735	Protein of unknown function (DUF2526)	DUF2526
PF10736	Protein of unknown function (DUF2627)	DUF2527
PF10800	Protein of unknown function (DUF2528)	DUF2528
PF10740	Protein of unknown function (DUF2529)	DUF2529
PF10745	Protein of unknown function (DUF2530)	DUF2530
PF10748	Protein of unknown function (DUF2531)	DUF2531
PF10811	Protein of unknown function (DUF2532)	DUF2532
PF10752	Protein of unknown function (DUF2533)	DUF2533
PF10749	Protein of unknown function (DUF2534)	DUF2534
PF10751	Protein of unknown function (DUF2535)	DUF2535
PF10750	Protein of unknown function (DUF2536)	DUF2536
PF10801	Protein of unknown function (DUF2537)	DUF2537
PF10804	Protein of unknown function (DUF2538)	DUF2538
PF10802	Protein of unknown function (DUF2540)	DUF2540
PF10807	Protein of unknown function (DUF2541)	DUF2541
PF10808	Protein of unknown function (DUF2542)	DUF2542
PF10820	Protein of unknown function (DUF2543)	DUF2543
PF11245	Protein of unknown function (DUF2544)	DUF2544
PF10810	Protein of unknown function (DUF2545)	DUF2545
PF10818	Protein of unknown function (DUF2547)	DUF2547
PF10739	Protein of unknown function (DUF2550)	DUF2550
PF10826	Protein of unknown function (DUF2551)	DUF2551
PF10827	Protein of unknown function (DUF2552)	DUF2552
PF10830	Protein of unknown function (DUF2553)	DUF2553
PF10829	Protein of unknown function (DUF2554)	DUF2554
PF10742	Protein of unknown function (DUF2555)	DUF2555
PF10831	Protein of unknown function (DUF2556)	DUF2556
PF10832	Protein of unknown function (DUF2559)	DUF2559
PF10834	Protein of unknown function (DUF2560)	DUF2560
PF10812	Protein of unknown function (DUF2561)	DUF2561
PF10814	Protein of unknown function (DUF2562)	DUF2562
PF10817	Protein of unknown function (DUF2563)	DUF2563
PF10819	Protein of unknown function (DUF2564)	DUF2564
PF10753	Protein of unknown function (DUF2566)	DUF2566
PF10821	Protein of unknown function (DUF2567)	DUF2567
PF10823	Protein of unknown function (DUF2568)	DUF2568
PF10754	Protein of unknown function (DUF2569)	DUF2569
PF03192	Pyrococcus protein of unknown function, DUF257	DUF257
PF10828	Protein of unknown function (DUF2570)	DUF2570
PF10833	Protein of unknown function (DUF2572)	DUF2572
PF10835	Protein of unknown function (DUF2573)	DUF2573
PF10836	Protein of unknown function (DUF2574)	DUF2574
PF10837	Protein of unknown function (DUF2575)	DUF2575
PF10845	Protein of unknown function (DUF2576)	DUF2576
PF10844	Protein of unknown function (DUF2577)	DUF2577
PF10843	Protein of unknown function (DUF2578)	DUF2578
PF03193	Protein of unknown function, DUF258	DUF258
PF10824	Protein of unknown function (DUF2580)	DUF2580
PF10771	Protein of unknown function (DUF2582)	DUF2582
PF10762	Protein of unknown function (DUF2583)	DUF2583
PF10763	Protein of unknown function (DUF2584)	DUF2584
PF10755	Protein of unknown function (DUF2585)	DUF2585
PF10758	Protein of unknown function (DUF2586)	DUF2586
PF10759	Protein of unknown function (DUF2587)	DUF2587
PF11655	Protein of unknown function (DUF2589)	DUF2589
PF10761	Protein of unknown function (DUF2590)	DUF2590
PF10765	Protein of unknown function (DUF2591)	DUF2591
PF10766	Protein of unknown function (DUF2592)	DUF2592
PF10767	Protein of unknown function (DUF2593)	DUF2593
PF10769	Protein of unknown function (DUF2594)	DUF2594
PF10772	Protein of unknown function (DUF2597)	DUF2597
PF10783	Protein of unknown function (DUF2599)	DUF2599
PF03195	Protein of unknown function DUF260	DUF260
PF10776	Protein of unknown function (DUF2600)	DUF2600
PF10782	Protein of unknown function (DUF2602)	DUF2602
PF10788	Protein of unknown function (DUF2603)	DUF2603
PF10790	Protein of Unknown function (DUF2604)	DUF2604
PF10792	Protein of unknown function (DUF2605)	DUF2605
PF10794	Protein of unknown function (DUF2606)	DUF2606
PF10795	Protein of unknown function (DUF2607)	DUF2607
PF11019	Protein of unknown function (DUF2608)	DUF2608
PF03196	Protein of unknown function, DUF261	DUF261
PF11020	Domain of unknown function (DUF2610)	DUF2610
PF11022	Protein of unknown function (DUF2611)	DUF2611
PF11041	Protein of unknown function (DUF2612)	DUF2612
PF11021	Protein of unknown function (DUF2613)	DUF2613
PF11023	Protein of unknown function (DUF2614)	DUF2614
PF11027	Protein of unknown function (DUF2615)	DUF2615
PF11077	Protein of unknown function (DUF2616)	DUF2616
PF10936	Protein of unknown function DUF2617	DUF2617
PF10940	Protein of unknown function (DUF2618)	DUF2618
PF10942	Protein of unknown function (DUF2619)	DUF2619
PF03235	Protein of unknown function DUF262	DUF262
PF10941	Protein of unknown function DUF2620	DUF2620
PF11084	Protein of unknown function (DUF2621)	DUF2621
PF11080	Protein of unknown function (DUF2622)	DUF2622
PF11115	Protein of unknown function (DUF2623)	DUF2623
PF11116	Protein of unknown function (DUF2624)	DUF2624
PF10946	Protein of unknown function DUF2625	DUF2625
PF11117	Protein of unknown function (DUF2626)	DUF2626
PF11118	Protein of unknown function (DUF2627)	DUF2627
PF10947	Protein of unknown function (DUF2628)	DUF2628
PF10945	Protein of unknown function (DUF2629)	DUF2629
PF10944	Protein of unknown function (DUF2630)	DUF2630
PF10939	Protein of unknown function (DUF2631)	DUF2631
PF10943	Protein of unknown function (DUF2632)	DUF2632
PF11119	Protein of unknown function (DUF2633)	DUF2633
PF10934	Protein of unknown function (DUF2634)	DUF2634
PF10948	Protein of unknown function (DUF2635)	DUF2635
PF11120	Protein of unknown function (DUF2636)	DUF2636
PF10935	Protein of unknown function (DUF2637)	DUF2637
PF10937	Protein of unknown function (DUF2638)	DUF2638
PF11121	Protein of unknown function (DUF2639)	DUF2639
PF10842	Protein of unknown function (DUF2642)	DUF2642
PF10841	Protein of unknown function (DUF2644)	DUF2644
PF10840	Protein of unknown function (DUF2645)	DUF2645
PF10839	Protein of unknown function (DUF2647)	DUF2647
PF10855	Protein of unknown function (DUF2648)	DUF2648
PF10854	Protein of unknown function (DUF2649)	DUF2649
PF10853	Protein of unknown function (DUF2650)	DUF2650
PF10852	Protein of unknown function (DUF2651)	DUF2651
PF10851	Protein of unknown function (DUF2652)	DUF2652
PF10850	Protein of unknown function (DUF2653)	DUF2653
PF10849	Protein of unknown function (DUF2654)	DUF2654
PF10848	Protein of unknown function (DUF2655)	DUF2655
PF10847	Protein of unknown function (DUF2656)	DUF2656
PF10858	Protein of unknown function (DUF2659)	DUF2659
PF10859	Protein of unknown function (DUF2660)	DUF2660
PF10860	Protein of unknown function (DUF2661)	DUF2661
PF10864	Protein of unknown function (DUF2663)	DUF2663
PF10867	Protein of unknown function (DUF2664)	DUF2664
PF11654	Protein of unknown function (DUF2665)	DUF2665
PF10869	Protein of unknown function (DUF2666)	DUF2666
PF10868	Protein of unknown function (DUF2667)	DUF2667
PF10873	Protein of unknown function (DUF2668)	DUF2668
PF10876	Protein of unknown function (DUF2669)	DUF2669
PF03268	Caenorhabditis protein of unknown function, DUF267	DUF267
PF10875	Protein of unknown function (DUF2670)	DUF2670
PF10877	Protein of unknown function (DUF2671)	DUF2671
PF10878	Protein of unknown function (DUF2672)	DUF2672
PF10880	Protein of unknown function (DUF2673)	DUF2673
PF10879	Protein of unknown function (DUF2674)	DUF2674
PF11247	Protein of unknown function (DUF2675)	DUF2675
PF10838	Protein of unknown function (DUF2677)	DUF2677
PF10856	Protein of unknown function (DUF2678)	DUF2678
PF03269	Caenorhabditis protein of unknown function, DUF268	DUF268
PF10925	Protein of unknown function (DUF2680)	DUF2680
PF10883	Protein of unknown function (DUF2681)	DUF2681
PF10909	Protein of unknown function (DUF2682)	DUF2682
PF10884	Protein of unknown function (DUF2683)	DUF2683
PF10885	Protein of unknown function (DUF2684)	DUF2684
